# outgoing part. 	 | BR(Delta BR) 	 [Origin] 	 | DC-file

{2112,111}	 | 0.6	 | N1440_npi.dat;
{2112,111,111}	 | 0.2	 | N1440_npipi.dat;
{2112,211,-211}	 | 0.2	 | N1440_npi+pi-.dat;
{2112,22}	 | 9e-05	 | N1440_nP.dat;
