# outgoing part. 	 | BR(Delta BR) 	 [Origin] 	 | DC-file

{2212,-311}	 | 0.25	 | Sigma1660+_P+Kb.dat;
{3122,211}	 | 0.25	 | Sigma1660+_Lambdapi+.dat;
{3212,211}	 | 0.25	 | Sigma1660+_Sigmapi+.dat;
{3222,111}	 | 0.25	 | Sigma1660+_Sigma+pi.dat;
