# outgoing part. 	 | BR(Delta BR) 	 [Origin] 	 | DC-file

{2212,111}	 | 0.4	 | N1535+_P+pi.dat;
{2212,221}	 | 0.5	 | N1535+_P+eta.dat;
{2212,111,111}	 | 0.05	 | N1535+_P+pipi.dat;
{2212,211,-211}	 | 0.05	 | N1535+_P+pi+pi-.dat;
{2212,22}	 | 0.003	 | N1535+_P+P.dat;
