# outgoing part. 	 | BR(Delta BR) 	 [Origin] 	 | DC-file

{3122,-321}	 | 0.3	 | Xi1690-_LambdaK-.dat;
{3112,-311}	 | 0.2	 | Xi1690-_Sigma-Kb.dat;
{3212,-321}	 | 0.2	 | Xi1690-_SigmaK-.dat;
{3312,111}	 | 0.15	 | Xi1690-_Xi-pi.dat;
{3322,-211}	 | 0.15	 | Xi1690-_Xipi-.dat;
