# outgoing part. 	 | BR(Delta BR) 	 [Origin] 	 | DC-file

{4232,-211}      | 0.67 | Xicstar_Xic+pi-.dat;
{4132,111}       | 0.33 | Xicstar_Xicpi.dat;
