# outgoing part. 	 | BR(Delta BR) 	 [Origin] 	 | DC-file

{3122,-311}	 | 0.3	 | Xi1690_LambdaKb.dat;
{3212,-311}	 | 0.2	 | Xi1690_SigmaKb.dat;
{3222,-321}	 | 0.2	 | Xi1690_Sigma+K-.dat;
{3312,211}	 | 0.15	 | Xi1690_Xi-pi+.dat;
{3322,111}	 | 0.15	 | Xi1690_Xipi.dat;
