# Declare spectators {flav1:weight1,flav2,weight2,...}
SPECTATORS     | {2:1.}


# outgoing part. 	 | BR(Delta BR) 	 [Origin] 	 | DC-file

## (semi)leptonic decays

# b -> c l nu
{12,-11}         | 0[PDG<1.5e-5]         | B+_nu_ee+.dat;
{14,-13}         | 3.83e-7[FS]         | B+_nu_mumu+.dat;
{16,-15}	 | 8.64e-5[FS]	 | B+_nu_tautau+.dat;


### hadronic decays

## b -> c

# b -> c two-body
{431,-421}       | 1.09e-2(0.27e-2)[PDG]      | B+_Ds+Db.dat;
{431,-423}       | 1.0e-2(0.4e-2)[PDG]       | B+_Ds+Dstar2007b.dat;
{433,-421}       | 7.2e-3(2.6e-3)[PDG]       | B+_Dsstar+Db.dat;
{433,-423}       | 2.2e-2(0.7e-2)[PDG]        | B+_Dsstar+Dstar2007b.dat;
{10431,-421}     | 8.2e-4(3e-4)[PDG]      | B+_Ds0star2317+Db.dat;
{10431,-423}     | 1.0e-3(0.8e-4)[PDG]       | B+_Ds0star2317+Dstar2007b.dat;
{10433,-421}     | 4e-4(4e-4)[PDG]       | B+_Ds12536+Db.dat;
{10433,-423}     | 1.4e-3(1.4e-3)[PDG]        | B+_Ds12536+Dstar2007b.dat;

{-10423,431}     | 0.0012()[EvtGen]       | B+_D12420bDs+.dat;
{-10423,433}     | 0.0024()[EvtGen]        | B+_D12420bDsstar+.dat;
{-20423,431}     | 0.0006()[EvtGen]       | B+_D12430bDs+.dat;
{-20423,433}     | 0.0012()[EvtGen]        | B+_D12430bDsstar+.dat;
{431,-425}       | 0.0042()[EvtGen]       | B+_Ds+D2star2460b.dat;
{433,-425}       | 0.004()[EvtGen]       | B+_Dsstar+D2star2460b.dat;

{-421,411}       | 4.8e-4(1.0e-4)[PDG]     | B+_DbD+.dat;
{-421,413}       | 4.6e-4(0.9e-4)[PDG]     | B+_DbDstar2010+.dat;
{-423,411}       | 4.6e-4(0.9e-4)[FS]     | B+_Dstar2007bD+.dat;
{-423,413}       | 1.0e-3[PDG<1.1e-2]       | B+_Dstar2007bDstar2010+.dat;

{-421,211}       | 4.92e-3(0.2e-3)[PDG]       | B+_Dbpi+.dat;
{-421,321}       | 4.08e-4(0.24e-4)[PDG]     | B+_DbK+.dat;
{-423,211}       | 4.6e-3(0.4e-4)[PDG]       | B+_Dstar2007bpi+.dat;
{-423,321}       | 3.7e-4(0.4e-4)[PDG]      | B+_Dstar2007bK+.dat;
{-10423,211}     | 1.5e-3(0.6e-3)[PDG]        | B+_D12420bpi+.dat;
{-20423,211}     | 1.0e-3(0.3e-3)[PDG]      | B+_D12430bpi+.dat;
{-425,211}       | 0.7e-3[PDG<1.3e-3]       | B+_D2star2460bpi+.dat;
{-10421,211}     | 9.15e-4(3e-4)[PDG]     | B+_D0star2400bpi+.dat;

# b -> c three-body
{-421,211,111}   | 0.0139[EvtGen]      | B+_Dbpi+pi.dat;
{-421,213}       | 0.0[included] | B+_Dbrho770+.dat;
{-423,211,111}   | 0.0103[EvtGen]      | B+_Dstar2007bpi+pi.dat;
{-423,213}       | 0.0[included] | B+_Dstar2007brho770+.dat;

# b -> c four-body
{-421,211,211,-211}      | 0.011535[EvtGen]       | B+_Dbpi+pi+pi-.dat;
{20213,-421}     | 0.0[included] | B+_a11260+Db.dat;
{-421,211,113}   | 0.0[included] | B+_Dbpi+rho770.dat;
{-421,211,111,111}       | 0.004435[FS]     | B+_Dbpi+pipi.dat;
{20213,-421}     | 0.0[included] | B+_a11260+Db.dat;
{-423,211,211,-211}      | 0.008985[EvtGen]      | B+_Dstar2007bpi+pi+pi-.dat;
{20213,-423}     | 0.0[included] | B+_a11260+Dstar2007b.dat;
{-423,211,113}   | 0.0[included] | B+_Dstar2007bpi+rho770.dat;
{-423,211,111,111}       | 0.008985[EvtGen]      | B+_Dstar2007bpi+pipi.dat;
{20213,-423}     | 0.0[included] | B+_a11260+Dstar2007b.dat;
{-423,213,111}   | 0.0[included] | B+_Dstar2007brho770+pi.dat;

# other modes with one charm and no matrix element
{-411,211,211}   | 0.00102[EvtGen]     | B+_D-pi+pi+.dat;
{-413,211,211}   | 0.00125[EvtGen]     | B+_Dstar2010-pi+pi+.dat;
{-411,213,211}   | 0.002[EvtGen]       | B+_D-rho770+pi+.dat;
{-411,211,211,111}       | 0.002[EvtGen]       | B+_D-pi+pi+pi.dat;
{-413,213,211}   | 0.002[EvtGen]       | B+_Dstar2010-rho770+pi+.dat;
{-413,211,211,111}       | 0.015[EvtGen]       | B+_Dstar2010-pi+pi+pi.dat;
{-10423,213}     | 0.0007[EvtGen]      | B+_D12420brho770+.dat;
{-20423,213}     | 0.0022[EvtGen]      | B+_D12430brho770+.dat;
{-425,213}       | 0.0038[EvtGen]      | B+_D2star2460brho770+.dat;
{-421,323}       | 0.00061[EvtGen]      | B+_DbKstar892+.dat;
{-423,323}       | 0.00077[EvtGen]       | B+_Dstar2007bKstar892+.dat;
{411,-311}       | 1.1e-05[EvtGen]     | B+_D+Kb.dat;
{413,-311}       | 6e-06[EvtGen]        | B+_Dstar2010+Kb.dat;

# other modes with two charms and no matrix element
{431,-411,211}   | 0.0036[EvtGen]      | B+_Ds+D-pi+.dat;
{431,-421,111}   | 0.0018[EvtGen]      | B+_Ds+Dbpi.dat;
{433,-411,211}   | 0.0037[EvtGen]      | B+_Dsstar+D-pi+.dat;
{433,-421,111}   | 0.0018[EvtGen]      | B+_Dsstar+Dbpi.dat;
