# Declare spectators {flav1:weight1,flav2,weight2,...}
SPECTATORS     | {4:0.642,-5:0.321,0}


# outgoing part. 	 | BR(Delta BR) 	 [Origin] 	 | DC-file

{12,-11}	 | 1.46e-9[FS]	 | Bc+_nu_ee+.dat;
{533,321}	 | 0.0013[hep-ph/0602050]	 | Bc+_BsstarK+.dat;
{531,323}	 | 0.00011[hep-ph/0602050]	 | Bc+_BsKstar892+.dat;
{533,323}	 | 0.005[hep-ph/0602050]	 | Bc+_BsstarKstar892+.dat;
{511,211}	 | 0.0020[hep-ph/0602050]	 | Bc+_Bpi+.dat;
{511,213}	 | 0.0020[hep-ph/0602050]	 | Bc+_Brho770+.dat;
{513,211}	 | 0.00057[hep-ph/0602050]	 | Bc+_Bstarpi+.dat;
{513,213}	 | 0.0030[hep-ph/0602050]	 | Bc+_Bstarrho770+.dat;
{511,321}	 | 0.00015[hep-ph/0602050]	 | Bc+_BK+.dat;
{511,323}	 | 0.000048[hep-ph/0602050]	 | Bc+_BKstar892+.dat;
{513,321}	 | 0.000036[hep-ph/0602050]	 | Bc+_BstarK+.dat;
{513,323}	 | 0.00013[hep-ph/0602050]	 | Bc+_BstarKstar892+.dat;
{521,-311}	 | 0.0038[hep-ph/0602050]	 | Bc+_B+Kb.dat;
{521,313}	 | 0.0011[hep-ph/0602050]	 | Bc+_B+Kstar892.dat;
{523,-311}	 | 0.00088[hep-ph/0602050]	 | Bc+_Bstar+Kb.dat;
{523,313}	 | 0.0032[hep-ph/0602050]	 | Bc+_Bstar+Kstar892.dat;
{521,111}	 | 0.000070[hep-ph/0602050]	 | Bc+_B+pi.dat;
{521,113}	 | 0.000071[hep-ph/0602050]	 | Bc+_B+rho770.dat;
{523,111}	 | 0.000020[hep-ph/0602050]	 | Bc+_Bstar+pi.dat;
{523,113}	 | 0.00011[hep-ph/0602050]	 | Bc+_Bstar+rho770.dat;

{-421,411}	 | 33e-6[hep-ph/0602050]	 | Bc+_DbD+.dat;
{-423,411}	 | 38e-6[hep-ph/0602050]	 | Bc+_Dstar2007bD+.dat;
{-421,413}	 | 8.8e-6[hep-ph/0602050]	 | Bc+_DbDstar2010+.dat;
{-423,413}	 | 21e-6[hep-ph/0602050]	 | Bc+_Dstar2007bDstar2010+.dat;
{431,-421}	 | 2.1e-6[hep-ph/0602050]	 | Bc+_Ds+Db.dat;
{431,-423}	 | 2.4e-6[hep-ph/0602050]	 | Bc+_Ds+Dstar2007b.dat;
{433,-421}	 | 0.65e-6[hep-ph/0602050]	 | Bc+_Dsstar+Db.dat;
{433,-423}	 | 1.6e-6[hep-ph/0602050]	 | Bc+_Dsstar+Dstar2007b.dat;

{421,411}	 | 0.31e-6[hep-ph/0602050]	 | Bc+_DD+.dat;
{423,411}	 | 0.052e-6[hep-ph/0602050]	 | Bc+_Dstar2007D+.dat;
{421,413}	 | 0.44e-6[hep-ph/0602050]	 | Bc+_DDstar2010+.dat;
{423,413}	 | 0.20e-6[hep-ph/0602050]	 | Bc+_Dstar2007Dstar2010+.dat;
{431,421}	 | 7.4e-6[hep-ph/0602050]	 | Bc+_Ds+D.dat;
{431,423}	 | 1.3e-6[hep-ph/0602050]	 | Bc+_Ds+Dstar2007.dat;
{433,421}	 | 9.3e-6[hep-ph/0602050]	 | Bc+_Dsstar+D.dat;
{433,423}	 | 4.5e-6[hep-ph/0602050]	 | Bc+_Dsstar+Dstar2007.dat;

{10441,211}	 | 0.00055[hep-ph/0602050]	 | Bc+_chic01Ppi+.dat;
{20443,211}	 | 0.000068[hep-ph/0602050]	 | Bc+_chic11Ppi+.dat;
{10443,211}	 | 0.0011[hep-ph/0602050]	 | Bc+_hc1Ppi+.dat;
{445,211}	 | 0.00046[hep-ph/0602050]	 | Bc+_chic21Ppi+.dat;

{10441,321}	 | 0.000042[hep-ph/0602050]	 | Bc+_chic01PK+.dat;
{20443,321}	 | 0.0000051[hep-ph/0602050]	 | Bc+_chic11PK+.dat;
{10443,321}	 | 0.000083[hep-ph/0602050]	 | Bc+_hc1PK+.dat;
{445,321}	 | 0.000034[hep-ph/0602050]	 | Bc+_chic21PK+.dat;

{10441,213}	 | 0.0013[hep-ph/0602050]	 | Bc+_chic01Prho770+.dat;
{20443,213}	 | 0.00029[hep-ph/0602050]	 | Bc+_chic11Prho770+.dat;
{10443,213}	 | 0.0025[hep-ph/0602050]	 | Bc+_hc1Prho770+.dat;
{445,213}	 | 0.0012[hep-ph/0602050]	 | Bc+_chic21Prho770+.dat;

{10441,323}	 | 0.000070[hep-ph/0602050]	 | Bc+_chic01PKstar892+.dat;
{20443,323}	 | 0.000018[hep-ph/0602050]	 | Bc+_chic11PKstar892+.dat;
{10443,323}	 | 0.00013[hep-ph/0602050]	 | Bc+_hc1PKstar892+.dat;
{445,323}	 | 0.000065[hep-ph/0602050]	 | Bc+_chic21PKstar892+.dat;
