# Declare spectators {flav1:weight1,flav2,weight2,...}
SPECTATORS     | {2101:1.}

# outgoing part.	 | BR(Delta BR)[Origin]  | DC-file
#
# Modes with nucleons/Deltas
#
{3224,113}          	 | 0.0037(0.0031)[PDG]   | Lambdac+_Sigma1385+rho770.dat;
{3224,311}	 	 | 0.001[EvtGen]	 | Lambdac+_Sigma1385+K.dat;
{3224,313}	 	 | 0.001[EvtGen]	 | Lambdac+_Sigma1385+Kstar892.dat;
{3224,221}   		 | 0.0085(0.0033)[PDG]   | Lambdac+_Sigma1385+eta.dat;
{3224,223}	 	 | 0.003[EvtGen]	 | Lambdac+_Sigma1385+omega782.dat;
{3224,211,-211}          | 0.007(0.004)[PDG]     | Lambdac+_Sigma1385+pi+pi-.dat;
{3322,321}	 	 | 0.0039(0.0014)[PDG]	 | Lambdac+_XiK+.dat;
{3312,321,211}	 	 | 0.0025(0.001)[PDG]	 | Lambdac+_Xi-K+pi+.dat;
{3324,321}	 	 | 0.0026(0.001)[PDG]	 | Lambdac+_Xi1530K+.dat;
{3322,323}	 	 | 0.002[EvtGen]	 | Lambdac+_XiKstar892+.dat;
#
# semileptonic modes
#
{3122,12,-11}		 | 0.021(0.006)[PDG]	 | Lambdac+_Lambdanu_ee+.dat;
{3122,14,-13}	 	 | 0.020(0.007)[PDG]	 | Lambdac+_Lambdanu_mumu+.dat;
{102132,12,-11}	 	 | 0.002[FS]	 	 | Lambdac+_Lambda1405nu_ee+.dat;
{102132,14,-13}	 	 | 0.002[FS]	   	 | Lambdac+_Lambda1405nu_mumu+.dat;
{203122,12,-11}	 	 | 2e-05[FS]	   	 | Lambdac+_Lambda1600nu_ee+.dat;
{203122,14,-13}	 	 | 2e-05[FS]	   	 | Lambdac+_Lambda1600nu_mumu+.dat;
{2112,12,-11}	 	 | 0.003[EvtGen]	 | Lambdac+_nnu_ee+.dat;
{2112,14,-13}	 	 | 0.003[EvtGen]	 | Lambdac+_nnu_mumu+.dat;
{202112,12,-11}	 	 | 0.0002[FS]	 	 | Lambdac+_N1440nu_ee+.dat;
{202112,14,-13}	 	 | 0.0002[FS]	 	 | Lambdac+_N1440nu_mumu+.dat;
{102112,12,-11}	 	 | 0.0002[FS]	 	 | Lambdac+_N1535nu_ee+.dat;
{102112,14,-13}	 	 | 0.0002[FS]	 	 | Lambdac+_N1535nu_mumu+.dat;
{3212,12,-11}	 	 | 0.018[EvtGen]	 | Lambdac+_Sigmanu_ee+.dat;
{3212,14,-13}	 	 | 0.005[EvtGen]	 | Lambdac+_Sigmanu_mumu+.dat;
{3214,12,-11}	 	 | 0.018[EvtGen]	 | Lambdac+_Sigma1385nu_ee+.dat;
{3214,14,-13}	 	 | 0.005[EvtGen]	 | Lambdac+_Sigma1385nu_mumu+.dat;
{2114,12,-11}	 	 | 0.002[EvtGen]	 | Lambdac+_Delta1232nu_ee+.dat;
{2114,14,-13}	 	 | 0.002[EvtGen]	 | Lambdac+_Delta1232nu_mumu+.dat;
{2112,111,12,-11}	 | 0.006[EvtGen]	 | Lambdac+_npinu_ee+.dat;
{2112,111,14,-13}	 | 0.006[EvtGen]	 | Lambdac+_npinu_mumu+.dat;


