# outgoing part. 	 | BR(Delta BR)   [Origin] 	 | DC-file
{311,211}	         | 0.66601	 		 | Kstar892+_Kpi+.dat;
{321,111}	         | 0.33300	 		 | Kstar892+_K+pi.dat;
{321,22}	         | 0.00099(0.00009) [PDG]	 | Kstar892+_K+P.dat;
