0 53 0 3.264 0  0  51
0  -nan  
0.064  0  
0.128  0  
0.192  -1.05693e-05  
0.256  -0.00109892  
0.32  -0.00612846  
0.384  -0.0184975  
0.448  -0.0429858  
0.512  -0.087116  
0.576  -0.163728  
0.64  -0.29611  
0.704  -0.527121  
0.768  -0.924655  
0.832  -1.52783  
0.896  -2.24013  
0.96  -2.93593  
1.024  -3.57098  
1.088  -4.14554  
1.152  -4.66793  
1.216  -5.14567  
1.28  -5.58823  
1.344  -5.99985  
1.408  -6.38473  
1.472  -6.7487  
1.536  -7.09268  
1.6  -7.41749  
1.664  -7.7289  
1.728  -8.02449  
1.792  -8.30877  
1.856  -8.58008  
1.92  -8.84233  
1.984  -9.09352  
2.048  -9.33498  
2.112  -9.56759  
2.176  -9.79393  
2.24  -10.0115  
2.304  -10.2237  
2.368  -10.4284  
2.432  -10.6288  
2.496  -10.8243  
2.56  -11.0149  
2.624  -11.2012  
2.688  -11.3834  
2.752  -11.5623  
2.816  -11.7394  
2.88  -11.9123  
2.944  -12.0817  
3.008  -12.2483  
3.072  -12.4136  
3.136  -12.5762  
3.2  -12.7362  
3.264  0  
