# outgoing part. 	 | BR(Delta BR) 	 [Origin] 	 | DC-file

{4132,211}       | 0.67 | Xicstar+_Xicpi+.dat;
{4232,111}       | 0.33 | Xicstar+_Xic+pi.dat;
