# outgoing part. 	 | BR(Delta BR) 	 [Origin] 	 | DC-file

{4122,211,-211}	 | 0.67	 | Lambdac2625+_Lambdac+pi+pi-.dat;
{4122,111,111}	 | 0.33	 | Lambdac2625+_Lambdac+pipi.dat;
