# Declare spectators {flav1:weight1,flav2,weight2,...}
SPECTATORS     | {1:1.}


# outgoing part. 	 | BR(Delta BR) 	 [Origin] 	 | DC-file

## (semi)leptonic decays

# b -> c l nu
{445,313}        | 3e-05[PDG<3.6e-5]       | B_chic21PKstar892.dat;
{445,321,-211}   | 0.0002[EvtGen]      | B_chic21PK+pi-.dat;
{445,311,111}    | 0.0001[EvtGen]      | B_chic21PKpi.dat;
{445,311,211,-211}       | 0.0002[EvtGen]      | B_chic21PKpi+pi-.dat;
{445,311,111,111}        | 0.0001[EvtGen]      | B_chic21PKpipi.dat;
{445,321,-211,111}       | 0.0001[EvtGen]      | B_chic21PK+pi-pi.dat;



## other modes with one charm and no matrix element
{-421,211,-211}  | 8.0e-4(1.6e-4)[PDG]      | B_Dbpi+pi-.dat;
{-423,211,-211}  | 6.2e-4(2.2e-4)[PDG]      | B_Dstar2007bpi+pi-.dat;
{-423,111,111}   | 0.0005[EvtGen]      | B_Dstar2007bpipi.dat;
{-421,211,-211,111}      | 0.001[EvtGen]       | B_Dbpi+pi-pi.dat;
{-421,111,111,111}       | 0.0001[EvtGen]      | B_Dbpipipi.dat;
{-423,211,-211,111}      | 0.001[EvtGen]       | B_Dstar2007bpi+pi-pi.dat;
{-423,111,111,111}       | 0.0001[EvtGen]      | B_Dstar2007bpipipi.dat;
{-411,223,211}   | 0.0028(0.0006)[PDG]   | B_D-omega782pi+.dat;
{-413,223,211}   | 0.0029(0.0005)[PDG]   | B_Dstar2010-omega782pi+.dat;
{-411,321,-313}  | 0.00088(0.00019)[PDG]         | B_D-K+Kstar892b.dat;
{-413,321,-313}  | 0.00129(0.00033)[PDG]         | B_Dstar2010-K+Kstar892b.dat;
{423,211,211,-211,-211}  | 0.0027(0.0005)[PDG]   | B_Dstar2007pi+pi+pi-pi-.dat;
{-413,211,211,-211,111}  | 0.0176(0.0027)[PDG]   | B_Dstar2010-pi+pi+pi-pi.dat;
{-413,211,211,211,-211,-211}     | 0.0047(0.0009)[PDG]   | B_Dstar2010-pi+pi+pi+pi-pi-.dat;
{2212,-2212,-413,211}    | 0.00065(0.00016)[PDG]         | B_P+P+bDstar2010-pi+.dat;
{2212,-2112,-413}        | 0.0015(0.0004)[PDG]   | B_P+nbDstar2010-.dat;

## other modes with two charms and no matrix element
{431,-411,111}   | 0.0018[EvtGen]      | B_Ds+D-pi.dat;
{431,-421,-211}  | 0.0037[EvtGen]      | B_Ds+Dbpi-.dat;
{433,-411,111}   | 0.0018[EvtGen]      | B_Dsstar+D-pi.dat;
{433,-421,-211}  | 0.0037[EvtGen]      | B_Dsstar+Dbpi-.dat;
{431,-411,211,-211}      | 0.003[EvtGen]       | B_Ds+D-pi+pi-.dat;
{431,-411,111,111}       | 0.0022[EvtGen]      | B_Ds+D-pipi.dat;
{431,-421,-211,111}      | 0.0022[EvtGen]      | B_Ds+Dbpi-pi.dat;
{433,-411,211,-211}      | 0.003[EvtGen]       | B_Dsstar+D-pi+pi-.dat;
{433,-411,111,111}       | 0.0022[EvtGen]      | B_Dsstar+D-pipi.dat;
{433,-421,-211,111}      | 0.0022[EvtGen]      | B_Dsstar+Dbpi-pi.dat;
{421,-411,321}   | 1.7e-3(0.4e-3)[PDG]      | B_DD-K+.dat;
{423,-411,321}   | 4.6e-3(1.0e-3)[PDG]      | B_Dstar2007D-K+.dat;
{421,-413,321}   | 3.1e-3(0.6e-3)[PDG]      | B_DDstar2010-K+.dat;
{423,-413,321}   | 0.0118(0.0020)[PDG]        | B_Dstar2007Dstar2010-K+.dat;
{411,-411,311}   | 0.0015[EvtGen]      | B_D+D-K.dat;
{-413,411,311}   | 0.0018[EvtGen]      | B_Dstar2010-D+K.dat;
{413,-411,311}   | 0.0047[EvtGen]      | B_Dstar2010+D-K.dat;
{413,-413,311}   | 8.8e-3(1.9e-3)[PDG]       | B_Dstar2010+Dstar2010-K.dat;
{421,-421,311}   | 0.0005[EvtGen]      | B_DDbK.dat;
{423,-421,311}   | 0.0005[EvtGen]      | B_Dstar2007DbK.dat;
{-423,421,311}   | 0.0015[EvtGen]      | B_Dstar2007bDK.dat;
{423,-423,311}   | 0.0015[EvtGen]      | B_Dstar2007Dstar2007bK.dat;
{421,-411,323}   | 0.0025[EvtGen]      | B_DD-Kstar892+.dat;
{421,-413,323}   | 0.0025[EvtGen]      | B_DDstar2010-Kstar892+.dat;
{423,-411,323}   | 0.0025[EvtGen]      | B_Dstar2007D-Kstar892+.dat;
{423,-413,323}   | 0.005[EvtGen]       | B_Dstar2007Dstar2010-Kstar892+.dat;
{411,-411,313}   | 0.0025[EvtGen]      | B_D+D-Kstar892.dat;
{-413,411,313}   | 0.0025[EvtGen]      | B_Dstar2010-D+Kstar892.dat;
{413,-411,313}   | 0.0025[EvtGen]      | B_Dstar2010+D-Kstar892.dat;
{413,-413,313}   | 0.005[EvtGen]       | B_Dstar2010+Dstar2010-Kstar892.dat;
{421,-421,313}   | 0.0005[EvtGen]      | B_DDbKstar892.dat;
{-423,421,313}   | 0.0005[EvtGen]      | B_Dstar2007bDKstar892.dat;
{423,-421,313}   | 0.0005[EvtGen]      | B_Dstar2007DbKstar892.dat;
{423,-423,313}   | 0.001[EvtGen]       | B_Dstar2007Dstar2007bKstar892.dat;
